Timestamp,AT_openmeteo_C,wiatr_m_s,naslonecznienie_sekundy
2026-04-15 00:00:00,11.0,2.69,0.0
2026-04-15 00:15:00,10.9,2.78,0.0
2026-04-15 00:30:00,10.7,2.61,0.0
2026-04-15 00:45:00,10.6,2.47,0.0
2026-04-15 01:00:00,10.5,2.36,0.0
2026-04-15 01:15:00,10.4,2.36,0.0
2026-04-15 01:30:00,10.3,2.5,0.0
2026-04-15 01:45:00,10.2,2.56,0.0
2026-04-15 02:00:00,10.1,2.56,0.0
2026-04-15 02:15:00,10.0,2.56,0.0
2026-04-15 02:30:00,10.0,2.42,0.0
2026-04-15 02:45:00,9.9,2.28,0.0
2026-04-15 03:00:00,9.9,2.14,0.0
2026-04-15 03:15:00,9.8,2.06,0.0
2026-04-15 03:30:00,9.8,2.14,0.0
2026-04-15 03:45:00,9.8,2.06,0.0
2026-04-15 04:00:00,9.7,2.06,0.0
2026-04-15 04:15:00,9.7,1.97,0.0
2026-04-15 04:30:00,9.7,1.92,0.0
2026-04-15 04:45:00,9.6,1.86,0.0
2026-04-15 05:00:00,9.6,1.81,0.0
2026-04-15 05:15:00,9.5,1.69,0.0
2026-04-15 05:30:00,9.5,1.53,0.0
2026-04-15 05:45:00,9.4,1.5,0.0
2026-04-15 06:00:00,9.3,1.44,0.0
2026-04-15 06:15:00,9.3,1.5,0.0
2026-04-15 06:30:00,9.2,1.67,0.0
2026-04-15 06:45:00,9.1,1.75,0.0
2026-04-15 07:00:00,9.1,1.81,0.0
2026-04-15 07:15:00,9.0,1.72,0.0
2026-04-15 07:30:00,9.0,1.58,0.0
2026-04-15 07:45:00,9.0,1.44,0.0
2026-04-15 08:00:00,9.1,1.36,0.0
2026-04-15 08:15:00,9.2,1.33,0.0
2026-04-15 08:30:00,9.3,1.42,0.0
2026-04-15 08:45:00,9.5,1.42,693.15
2026-04-15 09:00:00,9.7,1.5,228.0
2026-04-15 09:15:00,9.9,1.42,289.21
2026-04-15 09:30:00,10.1,1.42,741.72
2026-04-15 09:45:00,10.3,1.42,658.95
2026-04-15 10:00:00,10.6,1.44,378.1
2026-04-15 10:15:00,10.8,1.53,151.76
2026-04-15 10:30:00,11.1,1.53,0.0
2026-04-15 10:45:00,11.4,1.67,152.35
2026-04-15 11:00:00,11.7,1.67,234.04
2026-04-15 11:15:00,12.0,1.58,900.0
2026-04-15 11:30:00,12.4,1.56,900.0
2026-04-15 11:45:00,12.7,1.5,900.0
2026-04-15 12:00:00,13.0,1.42,900.0
2026-04-15 12:15:00,13.4,1.5,900.0
2026-04-15 12:30:00,13.7,1.56,900.0
2026-04-15 12:45:00,14.0,1.58,900.0
2026-04-15 13:00:00,14.3,1.67,900.0
2026-04-15 13:15:00,14.4,1.75,900.0
2026-04-15 13:30:00,14.4,1.75,900.0
2026-04-15 13:45:00,14.4,1.75,900.0
2026-04-15 14:00:00,14.4,1.75,900.0
2026-04-15 14:15:00,14.5,1.61,458.24
2026-04-15 14:30:00,14.6,1.39,71.92
2026-04-15 14:45:00,14.7,1.19,0.0
2026-04-15 15:00:00,14.9,0.97,43.79
2026-04-15 15:15:00,15.0,0.86,0.0
2026-04-15 15:30:00,15.1,0.61,452.44
2026-04-15 15:45:00,15.3,0.5,102.19
2026-04-15 16:00:00,15.5,0.53,0.0
2026-04-15 16:15:00,15.7,0.81,216.18
2026-04-15 16:30:00,16.1,1.11,900.0
2026-04-15 16:45:00,16.4,1.47,900.0
2026-04-15 17:00:00,16.6,1.67,900.0
2026-04-15 17:15:00,16.6,1.61,900.0
2026-04-15 17:30:00,16.6,1.44,900.0
2026-04-15 17:45:00,16.6,1.19,900.0
2026-04-15 18:00:00,16.5,1.03,900.0
2026-04-15 18:15:00,16.4,0.78,763.47
2026-04-15 18:30:00,16.3,0.92,393.02
2026-04-15 18:45:00,16.2,1.36,588.7
2026-04-15 19:00:00,16.0,1.56,57.89
2026-04-15 19:15:00,15.8,1.39,0.0
2026-04-15 19:30:00,15.6,1.03,0.0
2026-04-15 19:45:00,15.4,0.58,0.0
2026-04-15 20:00:00,15.1,0.11,0.0
2026-04-15 20:15:00,14.7,0.42,0.0
