kanal,model,typ,R2,adj_R2,AIC,RMSE,L,parametry
PWR,FOLP,brak L,0.9952226293644247,0.9952025984602924,-208.36207247499863,0.8015479429728493,,"[46.6258, 167.9805]"
PWR,FOLP_Z,brak L,0.9976333827156468,0.9976184670604934,-543.5278434452097,0.5641557929902458,,"[48.0667, 190.1206, 9.0356]"
PWR,SOSP,brak L,0.9952226287875829,0.9951925193051517,-206.36201451758419,0.801547991364149,,"[46.6257, 167.9803, 0.0]"
PWR,SOSP_Z,brak L,0.9976333827307294,0.9976134533221461,-541.5278465042768,0.5641557911925474,,"[48.0669, 190.1229, -50.8295, 9.0361]"
PWR,TOSP,brak L,0.9952226282110327,0.9951823977117572,-204.3619565894721,0.8015480397309858,,"[46.6258, 167.9805, 0.0, 0.0]"
PWR,FOSP,brak L,0.9952218327864986,0.9951612217859045,-200.28204403254298,0.8016147651678812,,"[46.626, 167.9818, 0.0007, 0.0007, 0.0, 0.0]"
PWR,FOLPD,BŁĄD,,-inf,,,,
PWR,FOLPD_Z,BŁĄD,,-inf,,,,
PWR,SOSPD,BŁĄD,,-inf,,,,
PWR,TOSPD,BŁĄD,,-inf,,,,
AT,I,brak L,-0.3959851193673214,-0.39599361406793077,773914.3867878311,10.53429511836746,,[0.0]
AT,FO,brak L,0.9611270142656534,0.9611265411712336,185412.79459660067,1.7578792347002703,,"[1.1306, 419.2635]"
AT,FO_Z,brak L,0.9691244696157929,0.9691239059674234,147561.90571973549,1.5666511428616734,,"[1.1437, 735.1265, 286.3168]"
AT,SO,brak L,0.9610518777667869,0.9610511667491843,185732.13229867292,1.759577292186472,,"[1.1306, 418.2609, 1.0]"
AT,SO_Z,brak L,0.9690901160797629,0.9690893637078372,147746.65409326102,1.5675224646411188,,"[1.1437, 735.5504, 1.0, 287.5543]"
AT,TO,brak L,-0.5662957472108112,-0.5663338721339177,792837.8417907658,11.158401160688776,,"[0.6001, 1871.3162, 470.4773, 94.2828]"
AT,FOD,BŁĄD,,-inf,,,,
AT,SOD,BŁĄD,,-inf,,,,
DPT,I,brak L,-1.8689662162333436,-1.8689836741623198,892295.4979014186,15.10176832831616,,[-0.0001]
DPT,FO,brak L,-3.526430660356403,-3.5264857482033056,967232.6569277564,18.968938235581764,,"[0.8096, 415.1978]"
DPT,FO_Z,brak L,-3.5124577515071422,-3.5125401286978306,966726.5675214087,18.939637431947276,,"[0.7855, 275.904, -318.083]"
DPT,SO,brak L,-3.518132156635229,-3.518214637415043,966933.092349167,18.951541965653988,,"[0.8154, 240.7697, 242.3595]"
