time;Czujnik;data;temperature [°C];time;Czujnik;data;temperature [°C];ON/OFF;;22 = on, chyba to temperatura docelowa
12:29:57;CRT;122;12,2;12:29:57;HRT;119;11,9;11;;data = temp*10, nie wiem po co to jest tu
12:29:58;CRT;122;12,2;12:29:58;HRT;119;11,9;11;;
12:29:59;CRT;122;12,2;12:29:59;HRT;119;11,9;11;;
12:30:00;CRT;122;12,2;12:30:00;HRT;119;11,9;11;;
12:30:01;CRT;122;12,2;12:30:01;HRT;119;11,9;22;;
12:30:01;CRT;122;12,2;12:30:01;HRT;119;11,9;22;;
12:30:02;CRT;122;12,2;12:30:02;HRT;119;11,9;22;;
12:30:03;CRT;122;12,2;12:30:03;HRT;119;11,9;22;;
12:30:04;CRT;122;12,2;12:30:04;HRT;119;11,9;22;;
12:30:04;CRT;122;12,2;12:30:04;HRT;119;11,9;22;;
12:30:05;CRT;122;12,2;12:30:05;HRT;119;11,9;22;;
12:30:06;CRT;122;12,2;12:30:06;HRT;119;11,9;22;;
12:30:06;CRT;122;12,2;12:30:06;HRT;119;11,9;22;;
12:30:07;CRT;122;12,2;12:30:07;HRT;119;11,9;22;;
12:30:08;CRT;122;12,2;12:30:08;HRT;119;11,9;22;;
12:30:08;CRT;122;12,2;12:30:08;HRT;119;11,9;22;;
12:30:09;CRT;122;12,2;12:30:09;HRT;119;11,9;22;;
12:30:10;CRT;122;12,2;12:30:10;HRT;119;11,9;22;;
12:30:10;CRT;122;12,2;12:30:10;HRT;119;11,9;22;;
12:30:11;CRT;122;12,2;12:30:11;HRT;119;11,9;22;;
12:30:12;CRT;122;12,2;12:30:12;HRT;119;11,9;22;;
12:30:12;CRT;122;12,2;12:30:12;HRT;119;11,9;22;;
12:30:13;CRT;122;12,2;12:30:13;HRT;119;11,9;22;;
12:30:13;CRT;122;12,2;12:30:13;HRT;119;11,9;22;;
12:30:14;CRT;122;12,2;12:30:14;HRT;119;11,9;22;;
12:30:15;CRT;122;12,2;12:30:15;HRT;119;11,9;22;;
12:30:15;CRT;122;12,2;12:30:15;HRT;119;11,9;22;;
12:30:16;CRT;122;12,2;12:30:16;HRT;119;11,9;22;;
12:30:17;CRT;122;12,2;12:30:17;HRT;119;11,9;22;;
12:30:17;CRT;122;12,2;12:30:17;HRT;119;11,9;22;;
12:30:18;CRT;122;12,2;12:30:18;HRT;119;11,9;22;;
12:30:19;CRT;122;12,2;12:30:19;HRT;119;11,9;22;;
12:30:19;CRT;122;12,2;12:30:19;HRT;119;11,9;22;;
12:30:20;CRT;122;12,2;12:30:20;HRT;119;11,9;22;;
12:30:21;CRT;122;12,2;12:30:21;HRT;119;11,9;22;;
12:30:22;CRT;122;12,2;12:30:22;HRT;119;11,9;22;;
12:30:22;CRT;122;12,2;12:30:22;HRT;119;11,9;22;;
12:30:23;CRT;122;12,2;12:30:23;HRT;119;11,9;22;;
12:30:24;CRT;122;12,2;12:30:24;HRT;119;11,9;22;;
12:30:24;CRT;122;12,2;12:30:24;HRT;119;11,9;22;;
12:30:25;CRT;122;12,2;12:30:25;HRT;119;11,9;22;;
12:30:26;CRT;122;12,2;12:30:26;HRT;119;11,9;22;;
12:30:26;CRT;122;12,2;12:30:26;HRT;119;11,9;22;;
12:30:27;CRT;122;12,2;12:30:27;HRT;119;11,9;22;;
12:30:27;CRT;122;12,2;12:30:28;HRT;119;11,9;22;;
12:30:28;CRT;122;12,2;12:30:28;HRT;119;11,9;22;;
12:30:29;CRT;122;12,2;12:30:29;HRT;119;11,9;22;;
12:30:29;CRT;122;12,2;12:30:29;HRT;119;11,9;22;;
12:30:30;CRT;122;12,2;12:30:30;HRT;119;11,9;22;;
12:30:31;CRT;122;12,2;12:30:31;HRT;119;11,9;22;;
12:30:31;CRT;122;12,2;12:30:31;HRT;119;11,9;22;;
12:30:32;CRT;122;12,2;12:30:32;HRT;119;11,9;22;;
12:30:33;CRT;122;12,2;12:30:33;HRT;119;11,9;22;;
12:30:33;CRT;122;12,2;12:30:33;HRT;119;11,9;22;;
12:30:34;CRT;122;12,2;12:30:34;HRT;119;11,9;22;;
12:30:35;CRT;122;12,2;12:30:35;HRT;119;11,9;22;;
12:30:35;CRT;122;12,2;12:30:35;HRT;119;11,9;22;;
12:30:36;CRT;122;12,2;12:30:36;HRT;119;11,9;22;;
12:30:37;CRT;122;12,2;12:30:37;HRT;119;11,9;22;;
12:30:37;CRT;122;12,2;12:30:37;HRT;119;11,9;22;;
12:30:38;CRT;122;12,2;12:30:38;HRT;119;11,9;22;;
12:30:39;CRT;122;12,2;12:30:39;HRT;119;11,9;22;;
12:30:39;CRT;122;12,2;12:30:39;HRT;119;11,9;22;;
12:30:40;CRT;122;12,2;12:30:40;HRT;119;11,9;22;;
12:30:40;CRT;122;12,2;12:30:40;HRT;119;11,9;22;;
12:30:41;CRT;122;12,2;12:30:41;HRT;119;11,9;22;;
12:30:42;CRT;121;12,1;12:30:42;HRT;120;12;22;;
12:30:42;CRT;121;12,1;12:30:42;HRT;120;12;22;;
12:30:43;CRT;121;12,1;12:30:43;HRT;120;12;22;;
12:30:44;CRT;121;12,1;12:30:44;HRT;120;12;22;;
12:30:44;CRT;121;12,1;12:30:44;HRT;120;12;22;;
12:30:45;CRT;121;12,1;12:30:45;HRT;120;12;22;;
12:30:46;CRT;121;12,1;12:30:46;HRT;120;12;22;;
12:30:46;CRT;121;12,1;12:30:46;HRT;120;12;22;;
12:30:47;CRT;121;12,1;12:30:47;HRT;120;12;22;;
12:30:48;CRT;121;12,1;12:30:48;HRT;120;12;22;;
12:30:48;CRT;121;12,1;12:30:48;HRT;120;12;22;;
12:30:49;CRT;121;12,1;12:30:49;HRT;120;12;22;;
12:30:49;CRT;121;12,1;12:30:49;HRT;120;12;22;;
12:30:50;CRT;121;12,1;12:30:50;HRT;121;12,1;22;;
12:30:51;CRT;121;12,1;12:30:51;HRT;121;12,1;22;;
12:30:51;CRT;121;12,1;12:30:51;HRT;121;12,1;22;;
12:30:52;CRT;121;12,1;12:30:52;HRT;121;12,1;22;;
12:30:53;CRT;121;12,1;12:30:53;HRT;121;12,1;22;;
12:30:53;CRT;121;12,1;12:30:53;HRT;121;12,1;22;;
12:30:54;CRT;121;12,1;12:30:54;HRT;121;12,1;22;;
12:30:55;CRT;121;12,1;12:30:55;HRT;121;12,1;22;;
12:30:55;CRT;121;12,1;12:30:55;HRT;121;12,1;22;;
12:30:56;CRT;121;12,1;12:30:56;HRT;121;12,1;22;;
12:30:57;CRT;121;12,1;12:30:57;HRT;121;12,1;22;;
12:30:57;CRT;121;12,1;12:30:57;HRT;121;12,1;22;;
12:30:58;CRT;121;12,1;12:30:58;HRT;122;12,2;22;;
12:30:59;CRT;121;12,1;12:30:59;HRT;122;12,2;22;;
12:30:59;CRT;121;12,1;12:30:59;HRT;122;12,2;22;;
12:31:00;CRT;121;12,1;12:31:00;HRT;122;12,2;22;;
12:31:01;CRT;121;12,1;12:31:01;HRT;122;12,2;22;;
12:31:01;CRT;122;12,2;12:31:01;HRT;122;12,2;22;;
12:31:02;CRT;122;12,2;12:31:02;HRT;122;12,2;22;;
12:31:03;CRT;122;12,2;12:31:03;HRT;122;12,2;22;;
12:31:03;CRT;122;12,2;12:31:03;HRT;123;12,3;22;;
12:31:04;CRT;122;12,2;12:31:04;HRT;123;12,3;22;;
12:31:05;CRT;122;12,2;12:31:05;HRT;123;12,3;22;;
12:31:05;CRT;122;12,2;12:31:05;HRT;123;12,3;22;;
12:31:06;CRT;122;12,2;12:31:06;HRT;123;12,3;22;;
12:31:07;CRT;122;12,2;12:31:07;HRT;124;12,4;22;;
12:31:07;CRT;122;12,2;12:31:07;HRT;124;12,4;22;;
12:31:08;CRT;122;12,2;12:31:08;HRT;124;12,4;22;;
12:31:09;CRT;122;12,2;12:31:09;HRT;124;12,4;22;;
12:31:09;CRT;122;12,2;12:31:09;HRT;124;12,4;22;;
12:31:10;CRT;122;12,2;12:31:10;HRT;124;12,4;22;;
12:31:11;CRT;122;12,2;12:31:11;HRT;124;12,4;22;;
12:31:11;CRT;122;12,2;12:31:11;HRT;124;12,4;22;;
12:31:12;CRT;122;12,2;12:31:12;HRT;125;12,5;22;;
12:31:13;CRT;122;12,2;12:31:13;HRT;125;12,5;22;;
12:31:13;CRT;122;12,2;12:31:13;HRT;125;12,5;22;;
12:31:14;CRT;122;12,2;12:31:14;HRT;125;12,5;22;;
12:31:14;CRT;122;12,2;12:31:14;HRT;125;12,5;22;;
12:31:15;CRT;122;12,2;12:31:15;HRT;125;12,5;22;;
12:31:16;CRT;122;12,2;12:31:16;HRT;125;12,5;22;;
12:31:16;CRT;122;12,2;12:31:16;HRT;125;12,5;22;;
12:31:17;CRT;121;12,1;12:31:17;HRT;126;12,6;22;;
12:31:18;CRT;121;12,1;12:31:18;HRT;126;12,6;22;;
12:31:18;CRT;121;12,1;12:31:18;HRT;126;12,6;22;;
12:31:19;CRT;121;12,1;12:31:19;HRT;126;12,6;22;;
12:31:20;CRT;121;12,1;12:31:20;HRT;126;12,6;22;;
12:31:20;CRT;122;12,2;12:31:20;HRT;127;12,7;22;;
12:31:21;CRT;122;12,2;12:31:21;HRT;127;12,7;22;;
12:31:22;CRT;122;12,2;12:31:22;HRT;127;12,7;22;;
12:31:22;CRT;121;12,1;12:31:22;HRT;128;12,8;22;;
12:31:23;CRT;121;12,1;12:31:23;HRT;128;12,8;22;;
12:31:24;CRT;121;12,1;12:31:24;HRT;128;12,8;22;;
12:31:24;CRT;121;12,1;12:31:24;HRT;128;12,8;22;;
12:31:25;CRT;121;12,1;12:31:25;HRT;128;12,8;22;;
12:31:26;CRT;121;12,1;12:31:26;HRT;128;12,8;22;;
12:31:26;CRT;121;12,1;12:31:26;HRT;128;12,8;22;;
12:31:27;CRT;121;12,1;12:31:27;HRT;128;12,8;22;;
12:31:28;CRT;121;12,1;12:31:28;HRT;128;12,8;22;;
12:31:28;CRT;121;12,1;12:31:28;HRT;128;12,8;22;;
12:31:29;CRT;121;12,1;12:31:29;HRT;129;12,9;22;;
12:31:30;CRT;121;12,1;12:31:30;HRT;129;12,9;22;;
12:31:30;CRT;121;12,1;12:31:30;HRT;129;12,9;22;;
12:31:31;CRT;122;12,2;12:31:31;HRT;130;13;22;;
12:31:32;CRT;122;12,2;12:31:32;HRT;130;13;22;;
12:31:32;CRT;122;12,2;12:31:32;HRT;130;13;22;;
12:31:33;CRT;122;12,2;12:31:33;HRT;130;13;22;;
12:31:34;CRT;122;12,2;12:31:34;HRT;130;13;22;;
12:31:34;CRT;122;12,2;12:31:34;HRT;130;13;22;;
12:31:35;CRT;122;12,2;12:31:35;HRT;130;13;22;;
12:31:35;CRT;122;12,2;12:31:35;HRT;130;13;22;;
12:31:36;CRT;122;12,2;12:31:36;HRT;130;13;22;;
12:31:37;CRT;122;12,2;12:31:37;HRT;131;13,1;22;;
12:31:37;CRT;122;12,2;12:31:37;HRT;131;13,1;22;;
12:31:38;CRT;122;12,2;12:31:38;HRT;131;13,1;22;;
12:31:39;CRT;122;12,2;12:31:39;HRT;131;13,1;22;;
12:31:39;CRT;121;12,1;12:31:39;HRT;132;13,2;22;;
12:31:40;CRT;121;12,1;12:31:40;HRT;132;13,2;22;;
12:31:41;CRT;121;12,1;12:31:41;HRT;132;13,2;22;;
12:31:41;CRT;121;12,1;12:31:41;HRT;132;13,2;22;;
12:31:42;CRT;121;12,1;12:31:42;HRT;132;13,2;22;;
12:31:42;CRT;121;12,1;12:31:42;HRT;133;13,3;22;;
12:31:43;CRT;121;12,1;12:31:43;HRT;133;13,3;22;;
12:31:44;CRT;121;12,1;12:31:44;HRT;133;13,3;22;;
