probka;y_real;y_model;u_input;error
0;11.9000;11.9000;11.0000;0.0000
1;11.9000;11.9033;11.0000;-0.0033
2;11.9000;11.9066;11.0000;-0.0066
3;11.9000;11.9100;11.0000;-0.0100
4;11.9000;11.9133;22.0000;-0.0133
5;11.9000;11.9290;22.0000;-0.0290
6;11.9000;11.9447;22.0000;-0.0447
7;11.9000;11.9603;22.0000;-0.0603
8;11.9000;11.9760;22.0000;-0.0760
9;11.9000;11.9916;22.0000;-0.0916
10;11.9000;12.0073;22.0000;-0.1073
11;11.9000;12.0229;22.0000;-0.1229
12;11.9000;12.0385;22.0000;-0.1385
13;11.9000;12.0541;22.0000;-0.1541
14;11.9000;12.0697;22.0000;-0.1697
15;11.9000;12.0853;22.0000;-0.1853
16;11.9000;12.1008;22.0000;-0.2008
17;11.9000;12.1164;22.0000;-0.2164
18;11.9000;12.1319;22.0000;-0.2319
19;11.9000;12.1475;22.0000;-0.2475
20;11.9000;12.1630;22.0000;-0.2630
21;11.9000;12.1785;22.0000;-0.2785
22;11.9000;12.1940;22.0000;-0.2940
23;11.9000;12.2095;22.0000;-0.3095
24;11.9000;12.2250;22.0000;-0.3250
25;11.9000;12.2404;22.0000;-0.3404
26;11.9000;12.2559;22.0000;-0.3559
27;11.9000;12.2713;22.0000;-0.3713
28;11.9000;12.2867;22.0000;-0.3867
29;11.9000;12.3021;22.0000;-0.4021
30;11.9000;12.3175;22.0000;-0.4175
31;11.9000;12.3329;22.0000;-0.4329
32;11.9000;12.3483;22.0000;-0.4483
33;11.9000;12.3637;22.0000;-0.4637
34;11.9000;12.3790;22.0000;-0.4790
35;11.9000;12.3944;22.0000;-0.4944
36;11.9000;12.4097;22.0000;-0.5097
37;11.9000;12.4250;22.0000;-0.5250
38;11.9000;12.4403;22.0000;-0.5403
39;11.9000;12.4556;22.0000;-0.5556
40;11.9000;12.4709;22.0000;-0.5709
41;11.9000;12.4862;22.0000;-0.5862
42;11.9000;12.5014;22.0000;-0.6014
43;11.9000;12.5167;22.0000;-0.6167
44;11.9000;12.5319;22.0000;-0.6319
45;11.9000;12.5471;22.0000;-0.6471
46;11.9000;12.5624;22.0000;-0.6624
47;11.9000;12.5776;22.0000;-0.6776
48;11.9000;12.5928;22.0000;-0.6928
49;11.9000;12.6079;22.0000;-0.7079
50;11.9000;12.6231;22.0000;-0.7231
51;11.9000;12.6383;22.0000;-0.7383
52;11.9000;12.6534;22.0000;-0.7534
53;11.9000;12.6685;22.0000;-0.7685
54;11.9000;12.6837;22.0000;-0.7837
55;11.9000;12.6988;22.0000;-0.7988
56;11.9000;12.7139;22.0000;-0.8139
57;11.9000;12.7290;22.0000;-0.8290
58;11.9000;12.7440;22.0000;-0.8440
59;11.9000;12.7591;22.0000;-0.8591
60;11.9000;12.7742;22.0000;-0.8742
61;11.9000;12.7892;22.0000;-0.8892
62;11.9000;12.8042;22.0000;-0.9042
63;11.9000;12.8192;22.0000;-0.9192
64;11.9000;12.8343;22.0000;-0.9343
65;11.9000;12.8492;22.0000;-0.9492
66;12.0000;12.8642;22.0000;-0.8642
67;12.0000;12.8792;22.0000;-0.8792
68;12.0000;12.8942;22.0000;-0.8942
69;12.0000;12.9091;22.0000;-0.9091
70;12.0000;12.9241;22.0000;-0.9241
71;12.0000;12.9390;22.0000;-0.9390
72;12.0000;12.9539;22.0000;-0.9539
73;12.0000;12.9688;22.0000;-0.9688
74;12.0000;12.9837;22.0000;-0.9837
75;12.0000;12.9986;22.0000;-0.9986
76;12.0000;13.0134;22.0000;-1.0134
77;12.0000;13.0283;22.0000;-1.0283
78;12.0000;13.0432;22.0000;-1.0432
79;12.1000;13.0580;22.0000;-0.9580
80;12.1000;13.0728;22.0000;-0.9728
81;12.1000;13.0876;22.0000;-0.9876
82;12.1000;13.1024;22.0000;-1.0024
83;12.1000;13.1172;22.0000;-1.0172
84;12.1000;13.1320;22.0000;-1.0320
85;12.1000;13.1468;22.0000;-1.0468
86;12.1000;13.1615;22.0000;-1.0615
87;12.1000;13.1763;22.0000;-1.0763
88;12.1000;13.1910;22.0000;-1.0910
89;12.1000;13.2057;22.0000;-1.1057
90;12.1000;13.2204;22.0000;-1.1204
91;12.2000;13.2352;22.0000;-1.0352
92;12.2000;13.2498;22.0000;-1.0498
93;12.2000;13.2645;22.0000;-1.0645
94;12.2000;13.2792;22.0000;-1.0792
95;12.2000;13.2938;22.0000;-1.0938
96;12.2000;13.3085;22.0000;-1.1085
97;12.2000;13.3231;22.0000;-1.1231
