probka;u;y_real;y_model;error
1;1.0000;7.1000;2.8171;4.2829
2;1.0000;7.1000;6.3209;0.7791
3;1.0000;5.0000;6.3209;-1.3209
4;1.0000;7.1000;4.9059;2.1941
5;1.0000;7.1000;6.3209;0.7791
6;1.0000;7.0000;6.3209;0.6791
7;1.0000;7.1000;6.2535;0.8465
8;1.0000;2.3000;6.3209;-4.0209
9;1.0000;7.1000;3.0866;4.0134
10;1.0000;7.0000;6.3209;0.6791
11;1.0000;7.1000;6.2535;0.8465
12;1.0000;7.1000;6.3209;0.7791
13;1.0000;3.9000;6.3209;-2.4209
14;1.0000;5.4000;4.1647;1.2353
15;1.0000;7.1000;5.1754;1.9246
16;1.0000;7.1000;6.3209;0.7791
17;1.0000;7.0000;6.3209;0.6791
18;1.0000;7.1000;6.2535;0.8465
19;1.0000;3.9000;6.3209;-2.4209
20;1.0000;7.1000;4.1647;2.9353
21;1.0000;3.9000;6.3209;-2.4209
22;1.0000;7.1000;4.1647;2.9353
23;1.0000;2.5000;6.3209;-3.8209
24;1.0000;7.1000;3.2214;3.8786
25;1.0000;7.1000;6.3209;0.7791
26;1.0000;7.0000;6.3209;0.6791
27;1.0000;7.1000;6.2535;0.8465
28;1.0000;3.9000;6.3209;-2.4209
29;1.0000;7.1000;4.1647;2.9353
30;1.0000;5.1000;6.3209;-1.2209
31;1.0000;7.1000;4.9733;2.1267
32;1.0000;7.1000;6.3209;0.7791
33;1.0000;7.0000;6.3209;0.6791
34;1.0000;7.1000;6.2535;0.8465
35;2.0000;4.5000;6.3209;-1.8209
36;2.0000;4.5000;6.1058;-1.6058
37;2.0000;7.1000;6.1058;0.9942
38;2.0000;7.1000;7.8578;-0.7578
39;1.0000;1.5000;7.8578;-6.3578
40;1.0000;7.1000;2.5476;4.5524
41;1.0000;7.1000;6.3209;0.7791
42;1.0000;7.0000;6.3209;0.6791
43;1.0000;7.1000;6.2535;0.8465
44;1.0000;3.9000;6.3209;-2.4209
45;1.0000;7.1000;4.1647;2.9353
46;1.0000;3.1000;6.3209;-3.2209
47;1.0000;7.1000;3.6257;3.4743
48;1.0000;7.1000;6.3209;0.7791
49;1.0000;7.0000;6.3209;0.6791
50;1.0000;7.1000;6.2535;0.8465
51;1.0000;4.9000;6.3209;-1.4209
52;1.0000;7.1000;4.8385;2.2615
53;1.0000;7.1000;6.3209;0.7791
54;1.0000;7.0000;6.3209;0.6791
55;1.0000;7.1000;6.2535;0.8465
56;1.0000;3.9000;6.3209;-2.4209
57;1.0000;7.1000;4.1647;2.9353
58;1.0000;3.9000;6.3209;-2.4209
59;1.0000;7.1000;4.1647;2.9353
60;1.0000;3.9000;6.3209;-2.4209
61;1.0000;7.1000;4.1647;2.9353
62;1.0000;3.9000;6.3209;-2.4209
63;1.0000;7.1000;4.1647;2.9353
64;1.0000;3.7000;6.3209;-2.6209
65;1.0000;7.1000;4.0300;3.0700
66;1.0000;3.2000;6.3209;-3.1209
67;1.0000;7.1000;3.6930;3.4070
68;1.0000;3.7000;6.3209;-2.6209
69;1.0000;7.1000;4.0300;3.0700
70;1.0000;7.0000;6.3209;0.6791
71;1.0000;7.1000;6.2535;0.8465
72;1.0000;7.1000;6.3209;0.7791
73;1.0000;6.3000;6.3209;-0.0209
74;1.0000;7.1000;5.7819;1.3181
75;1.0000;3.9000;6.3209;-2.4209
76;1.0000;7.1000;4.1647;2.9353
77;1.0000;4.4000;6.3209;-1.9209
78;1.0000;7.1000;4.5016;2.5984
79;1.0000;7.1000;6.3209;0.7791
80;1.0000;6.8000;6.3209;0.4791
81;1.0000;7.1000;6.1188;0.9812
82;1.0000;5.6000;6.3209;-0.7209
83;1.0000;7.1000;5.3102;1.7898
84;1.0000;7.1000;6.3209;0.7791
85;1.0000;7.0000;6.3209;0.6791
86;1.0000;7.1000;6.2535;0.8465
87;1.0000;3.8000;6.3209;-2.5209
88;1.0000;7.1000;4.0973;3.0027
89;1.0000;5.0000;6.3209;-1.3209
90;1.0000;7.1000;4.9059;2.1941
91;1.0000;7.1000;6.3209;0.7791
92;1.0000;4.7000;6.3209;-1.6209
93;1.0000;7.1000;4.7038;2.3962
94;1.0000;2.9000;6.3209;-3.4209
95;1.0000;7.1000;3.4909;3.6091
96;1.0000;7.1000;6.3209;0.7791
97;1.0000;3.8000;6.3209;-2.5209
98;1.0000;7.1000;4.0973;3.0027
99;1.0000;3.3000;6.3209;-3.0209
100;1.0000;7.1000;3.7604;3.3396
101;1.0000;2.9000;6.3209;-3.4209
102;1.0000;7.1000;3.4909;3.6091
103;1.0000;7.1000;6.3209;0.7791
104;1.0000;2.9000;6.3209;-3.4209
105;1.0000;7.1000;3.4909;3.6091
106;1.0000;7.1000;6.3209;0.7791
107;2.0000;5.3000;6.3209;-1.0209
108;1.0000;3.9000;6.6449;-2.7449
109;1.0000;7.1000;4.1647;2.9353
110;1.0000;3.9000;6.3209;-2.4209
111;1.0000;7.1000;4.1647;2.9353
112;1.0000;3.9000;6.3209;-2.4209
113;1.0000;7.1000;4.1647;2.9353
114;1.0000;3.9000;6.3209;-2.4209
115;1.0000;7.1000;4.1647;2.9353
116;1.0000;3.9000;6.3209;-2.4209
117;1.0000;7.1000;4.1647;2.9353
118;1.0000;4.7000;6.3209;-1.6209
119;1.0000;7.1000;4.7038;2.3962
120;1.0000;7.1000;6.3209;0.7791
121;1.0000;5.6000;6.3209;-0.7209
122;1.0000;7.1000;5.3102;1.7898
123;1.0000;7.1000;6.3209;0.7791
124;1.0000;2.8000;6.3209;-3.5209
125;1.0000;1.6000;3.4235;-1.8235
126;1.0000;7.1000;2.6149;4.4851
127;1.0000;7.1000;6.3209;0.7791
128;1.0000;7.0000;6.3209;0.6791
